obs,lat,lon
234633,-45.983333,-66.566667
234633,-45.983333,-66.066667
234633,-45.983333,-65.75
234633,-45.983333,-65.533333
234633,-45.983333,-65.533333
234633,-45.983333,-65.133333
234633,-45.983333,-64.93333300000002
234633,-45.983333,-64.816667
234633,-45.983333,-64.783333
234633,-45.983333,-64.166667
234633,-45.966667,-65.633333
234633,-45.966667,-65.016667
234633,-45.95,-65.516667
234633,-45.933333,-66.833333
234633,-45.933333,-65.2
234633,-45.916667,-66.033333
234633,-45.916667,-65.516667
234633,-45.916667,-65.483333
234633,-45.916667,-64.93333300000002
234633,-45.916667,-64.116667
234633,-45.916667,-63.733333
234633,-45.9,-65.466667
234633,-45.9,-65.3
234633,-45.9,-64.966667
234633,-45.9,-64.766667
234633,-45.9,-64.583333
234633,-45.9,-64.283333
234633,-45.9,-64.116667
234633,-45.883333,-63.916667
234633,-45.883333,-63.7
234633,-45.866667,-66.35
234633,-45.866667,-65.516667
234633,-45.866667,-64.40000000000002
234633,-45.866667,-64.333333
234633,-45.85,-65.45
234633,-45.85,-63.9
234633,-45.833333,-66.85
234633,-45.833333,-65.15000000000002
234633,-45.833333,-64.45
234633,-45.833333,-64.383333
234633,-45.816667,-65.383333
234633,-45.8,-66.2
234633,-45.8,-65.25
234633,-45.8,-64.316667
234633,-45.783333,-65.333333
234633,-45.783333,-65.25
234633,-45.783333,-64.75
234633,-45.783333,-64.15000000000002
234633,-45.7778,-65.233333
234633,-45.766667,-65.45
234633,-45.766667,-65.416667
234633,-45.766667,-65.25
234633,-45.766667,-64.983333
234633,-45.766667,-64.966667
234633,-45.766667,-64.85
234633,-45.766667,-64.466667
234633,-45.75,-65.55
234633,-45.75,-65.05
234633,-45.75,-64.68333300000002
234633,-45.733333,-66.816667
234633,-45.733333,-66.766667
234633,-45.733333,-64.616667
234633,-45.733333,-64.1
234633,-45.716667,-66.65000000000002
234633,-45.716667,-65.18333300000002
234633,-45.716667,-64.90000000000002
234633,-45.716667,-64.8
234633,-45.706383,-65.340467
234633,-45.7,-66.733333
234633,-45.7,-66.68333300000002
234633,-45.7,-66.1
234633,-45.7,-65.983333
234633,-45.7,-65.483333
234633,-45.7,-65.266667
234633,-45.7,-64.133333
234633,-45.683333,-65.85
234633,-45.683333,-65.45
234633,-45.683333,-65.383333
234633,-45.683333,-65.366667
234633,-45.683333,-65.316667
234633,-45.683333,-64.116667
234633,-45.670733,-65.311867
234633,-45.666667,-66.65000000000002
234633,-45.666667,-66.43333300000002
234633,-45.666667,-66.40000000000002
234633,-45.666667,-66.166667
234633,-45.666667,-66.066667
234633,-45.666667,-66.05
234633,-45.666667,-66.033333
234633,-45.666667,-65.40000000000002
234633,-45.666667,-64.75
234633,-45.666667,-64.733333
234633,-45.666667,-64.616667
234633,-45.65,-66.466667
234633,-45.65,-66.40000000000002
234633,-45.65,-66.383333
234633,-45.65,-66.133333
234633,-45.65,-66.05
234633,-45.65,-65.266667
234633,-45.65,-64.55
234633,-45.65,-64.55
234633,-45.65,-64.366667
234633,-45.633333,-66.40000000000002
234633,-45.633333,-66.35
234633,-45.633333,-66.35
234633,-45.633333,-66.266667
234633,-45.633333,-66.18333300000002
234633,-45.633333,-66.116667
234633,-45.633333,-65.93333300000002
234633,-45.633333,-65.8
234633,-45.633333,-65.6
234633,-45.633333,-65.5
234633,-45.633333,-65.416667
234633,-45.633333,-64.916667
234633,-45.633333,-64.483333
234633,-45.633333,-64.466667
234633,-45.616667,-66.40000000000002
234633,-45.616667,-66.316667
234633,-45.616667,-66.1
234633,-45.616667,-66.05
234633,-45.616667,-66
234633,-45.616667,-65.8
234633,-45.616667,-65.083333
234633,-45.616667,-64.983333
234633,-45.611983,-65.395017
234633,-45.6,-66.616667
234633,-45.6,-66.3
234633,-45.6,-66.25
234633,-45.6,-66.216667
234633,-45.6,-66.18333300000002
234633,-45.6,-66.1
234633,-45.6,-66.083333
234633,-45.6,-66.066667
234633,-45.6,-66.05
234633,-45.6,-66.033333
234633,-45.6,-65.033333
234633,-45.6,-64.8
234633,-45.58645,-65.342617
234633,-45.583333,-66.3
234633,-45.583333,-66.266667
234633,-45.583333,-66.166667
234633,-45.583333,-66.15000000000002
234633,-45.583333,-66.083333
234633,-45.583333,-66.083333
234633,-45.583333,-66
234633,-45.583333,-65.866667
234633,-45.583333,-65.766667
234633,-45.583333,-65
234633,-45.583333,-64.93333300000002
234633,-45.566667,-66.2
234633,-45.566667,-66.066667
234633,-45.566667,-66.033333
234633,-45.566667,-66.033333
234633,-45.566667,-64.90000000000002
234633,-45.566667,-64.766667
234633,-45.55,-66.116667
234633,-45.55,-66.083333
234633,-45.55,-66.066667
234633,-45.55,-66.066667
234633,-45.55,-65.983333
234633,-45.55,-65.316667
234633,-45.55,-64.116667
234633,-45.533333,-66.266667
234633,-45.533333,-66.233333
234633,-45.533333,-66.166667
234633,-45.533333,-66.166667
234633,-45.533333,-66.133333
234633,-45.533333,-66.05
234633,-45.533333,-65.916667
